29/06/2010;Peter
30/06/2010;Melánia
01/07/2010;Diana
02/07/2010;Berta
03/07/2010;Miloslav
04/07/2010;Prokop
05/07/2010;Cyril
06/07/2010;Patrik
07/07/2010;Oliver
08/07/2010;Ivan
09/07/2010;Lujza
10/07/2010;Amália
11/07/2010;Milota
12/07/2010;Nina
13/07/2010;Margita
14/07/2010;Kamil
15/07/2010;Henrich
16/07/2010;Drahomír
17/07/2010;Bohuslav
18/07/2010;Kamila
19/07/2010;Dušana
20/07/2010;Iľja
21/07/2010;Daniel
22/07/2010;Magdaléna
23/07/2010;Oľga
24/07/2010;Vladimír
25/07/2010;Jakub
26/07/2010;Anna Hana
27/07/2010;Božena
28/07/2010;Krištof
29/07/2010;Marta
30/07/2010;Libuša
31/07/2010;Ignác
01/08/2010;Božidara
02/08/2010;Gustáv
03/08/2010;Jerguš
04/08/2010;Dominik
05/08/2010;Hortenzia
06/08/2010;Jozefína
07/08/2010;Štefánia
08/08/2010;Oskar
09/08/2010;Ľubomíra
10/08/2010;Vavrinec
11/08/2010;Zuzana
12/08/2010;Darina
13/08/2010;Ľubomír
14/08/2010;Mojmír
15/08/2010;Marcela
16/08/2010;Leonard
17/08/2010;Milica
18/08/2010;Elena Helena
19/08/2010;Lýdia
20/08/2010;Anabela
21/08/2010;Jana
22/08/2010;Tichomír
23/08/2010;Filip
24/08/2010;Bartolomej
25/08/2010;Ľudovít
26/08/2010;Samuel
27/08/2010;Silvia
28/08/2010;Augustín
29/08/2010;Nikola
30/08/2010;Ružena
31/08/2010;Nora
01/09/2010;Drahoslava
02/09/2010;Linda
03/09/2010;Belo
04/09/2010;Rozália
05/09/2010;Regína
06/09/2010;Alica
07/09/2010;Marianna
08/09/2010;Miriama
09/09/2010;Martina
10/09/2010;Oleg
11/09/2010;Bystrík
12/09/2010;Mária
13/09/2010;Ctibor
14/09/2010;Ľudomil
15/09/2010;Jolana
16/09/2010;Ľudomila
17/09/2010;Olympia
18/09/2010;Eugénia
19/09/2010;Konštantín
20/09/2010;Ľuboslav
21/09/2010;Matúš
22/09/2010;Móric
23/09/2010;Zdenka
24/09/2010;Ľuboš
25/09/2010;Vladislav
26/09/2010;Edita
27/09/2010;Cyprián
28/09/2010;Václav
29/09/2010;Michal
30/09/2010;Jarolím
01/10/2010;Arnold
02/10/2010;Levoslav
03/10/2010;Stela
04/10/2010;František
05/10/2010;Viera
06/10/2010;Natália
07/10/2010;Eliška
08/10/2010;Brigita
09/10/2010;Dionýz
10/10/2010;Slavomíra
11/10/2010;Valentína
12/10/2010;Maximilián
13/10/2010;Koloman
14/10/2010;Boris
15/10/2010;Terézia
16/10/2010;Vladimíra
17/10/2010;Hedviga
18/10/2010;Lukáš
19/10/2010;Kristián
20/10/2010;Vendelín
21/10/2010;Uršuľa
22/10/2010;Sergej
23/10/2010;Alojza
24/10/2010;Kvetoslava
25/10/2010;Aurel
26/10/2010;Demeter
27/10/2010;Sabína
28/10/2010;Dobromila
29/10/2010;Klára
30/10/2010;Simona
31/10/2010;Aurélia
01/11/2010;Denis Denisa
02/11/2010;Pamiatka zosnulých
03/11/2010;Hubert
04/11/2010;Karol
05/11/2010;Imrich
06/11/2010;Renáta
07/11/2010;René
08/11/2010;Bohumír
09/11/2010;Teodor
10/11/2010;Tibor
11/11/2010;Maroš Martin
12/11/2010;Svätopluk
13/11/2010;Stanislav
14/11/2010;Irma
15/11/2010;Leopold
16/11/2010;Agnesa
17/11/2010;Klaudia
18/11/2010;Eugen
19/11/2010;Alžbeta
20/11/2010;Félix
21/11/2010;Elvíra
22/11/2010;Cecília
23/11/2010;Klement
24/11/2010;Emília
25/11/2010;Katarína
26/11/2010;Kornel
27/11/2010;Milan
28/11/2010;Henrieta
29/11/2010;Vratko
30/11/2010;Ondrej
01/12/2010;Edmund
02/12/2010;Bibiána
03/12/2010;Oldrich
04/12/2010;Barbora
05/12/2010;Oto
06/12/2010;Mikuláš
07/12/2010;Ambróz
08/12/2010;Marína
09/12/2010;Izabela
10/12/2010;Radúz
11/12/2010;Hilda
12/12/2010;Otília
13/12/2010;Lucia
14/12/2010;Branislava
15/12/2010;Ivica
16/12/2010;Albína
17/12/2010;Kornélia
18/12/2010;Sláva
19/12/2010;Judita
20/12/2010;Dagmara
21/12/2010;Bohdan
22/12/2010;Adela
23/12/2010;Nadežda
24/12/2010;Adam
25/12/2010;1.sviatok vianočný
26/12/2010;Štefan
27/12/2010;Filoména
28/12/2010;Ivana
29/12/2010;Milada
30/12/2010;Dávid
31/12/2010;Silvester
